Wall time,Step,Value
1696484952.936657,20,0.009859031066298485
1696484959.3454366,40,0.009843357838690281
1696484965.500529,60,0.006817650981247425
1696484971.5179625,80,0.008268516510725021
1696484977.4192083,100,0.00868087075650692
1696484983.2335622,120,0.006640419363975525
1696484989.1996913,140,0.007186802104115486
1696484995.4704256,160,0.0066460538655519485
1696485001.4785674,180,0.006432600785046816
1696485007.6593332,200,0.006126586813479662
1696485013.590946,220,0.005627116188406944
1696485019.276964,240,0.0068216281943023205
1696485026.3086643,260,0.006500035524368286
1696485033.6659107,280,0.007408380042761564
1696485039.9062972,300,0.0065617635846138
1696485045.9717317,320,0.007237644866108894
1696485052.2518084,340,0.006887214258313179
1696485058.068066,360,0.004984722007066011
1696485064.0740182,380,0.006535708904266357
1696485070.0200355,400,0.004278121050447226
1696485076.158603,420,0.0060484642162919044
1696485082.22525,440,0.006717619951814413
1696485088.4638536,460,0.006021851673722267
1696485094.5897386,480,0.004735096357762814
1696485100.686378,500,0.005066122859716415
1696485106.5289667,520,0.004729265347123146
1696485112.6121755,540,0.003950729034841061
1696485118.5090096,560,0.004609894938766956
1696485124.529822,580,0.005426834803074598
1696485130.4425962,600,0.005799546837806702
1696485136.2464542,620,0.004653153941035271
1696485142.465396,640,0.006431150250136852
1696485149.2709403,660,0.004841454792767763
1696485155.7629201,680,0.005409019999206066
1696485162.3944826,700,0.00598300714045763
1696485169.0257761,720,0.005103124305605888
1696485175.6245801,740,0.0052506281062960625
1696485181.9736764,760,0.004181112162768841
1696485188.0260863,780,0.005375407170504332
1696485194.679353,800,0.004826115444302559
1696485201.0668223,820,0.005547198932617903
1696485207.5694485,840,0.003640496637672186
1696485214.3560104,860,0.004807041957974434
1696485220.9448624,880,0.004418056458234787
1696485227.0120425,900,0.004064770881086588
1696485233.579477,920,0.005050864070653915
1696485240.2368717,940,0.0059259501285851
1696485246.8500364,960,0.003889811923727393
1696485253.3097553,980,0.004858324304223061
1696485260.0353787,1000,0.00455088447779417
